trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-159.83323426055293,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0}",25,0,-67.60107910284471,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0}",20,0,-147.38827736618185,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",1
4,False,"{'a': 0.5, 'e': 0}",20,0,-70.34964774415351,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0}",20,0,-18.948613596030828,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0}",20,0,-29.961946747502974,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0}",25,0,-120.98608862861354,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0}",20,0,-0.6609620818843016,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0}",30,0,-39.29999909291917,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0}",35,0,-181.0574933525709,"{0: 27, 1: 0, 2: 3, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0}",35,22,-4.778790191659192,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0}",35,0,-57.281762593225196,"{0: 32, 1: 0, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0}",20,0,9.010627126646652,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0}",20,0,-9.560170380578214,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0}",20,1,-92.77646951004223,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0}",20,0,-30.26303297003603,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0}",20,0,-28.462840962369977,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0}",20,0,22.552285296258642,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0}",20,0,-38.06126033831275,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0}",25,8,-51.30293588004442,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,15,6.310994577069514,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
