trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.31956853526788,"{0: 17, 1: 6, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.17800910248071,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.79272975528258,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.14898511478722,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.8726718948688,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.56363995875014,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.95351439446043,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.61858453931647,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.645930046414314,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.4114675372432,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.83380796711238,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.39749360988844,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.71535505797846,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.61966226442951,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,4,-136.34820488454562,"{0: 8, 1: 3, 2: 1, 3: 2, 4: 2}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.276216749466904,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.62147232552545,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-187.61555167110683,"{0: 13, 1: 6, 2: 9, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.89031856463816,"{0: 12, 1: 6, 2: 2, 3: 4, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.6249583889997,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.74555419878483,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.91714915617716,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.86805257320107,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.75278228251055,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-158.84147852029392,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-241.05245074340235,"{0: 12, 1: 5, 2: 7, 3: 4, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.14705631120945,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-65.24002423040561,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-167.04917328266893,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-25.5566883119865,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
