trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,-20,-328.2799539199398,"{0: 21, 1: 9, 2: 9, 3: 1, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-100,-567.8178189002607,"{0: 76, 1: 17, 2: 15, 3: 3, 4: 9}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-38,-177.52222043118385,"{0: 44, 1: 6, 2: 10, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,-29,-311.2762135336805,"{0: 28, 1: 5, 2: 8, 3: 4, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,-6,-42.804485416835625,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,-75,-239.89882688297018,"{0: 69, 1: 8, 2: 13, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,-97,-336.40174908302913,"{0: 92, 1: 11, 2: 14, 3: 6, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,16,-6.044670381652243,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,-9,-76.89972083745407,"{0: 31, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,3,2.669462474089312,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,3,-54.700606618522755,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,7,10.126958516276074,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,-17,-127.2583555673077,"{0: 33, 1: 2, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,10,23.423446559524738,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,-20,-63.26046909263925,"{0: 32, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,9,-11.55805333008932,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,-5,16.35034587641816,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,6,25.561200565366924,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,1,-14.65000020622096,"{0: 30, 1: 0, 2: 1, 3: 3, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,10,19.42274408020782,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,9,18.297312148774274,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,20,7.769995362548089,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,2,41.07226408542993,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,-9,52.99672200525082,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,18,0.8706658350614673,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,7,30.78117717035931,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,17.033183693012486,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,-21,65.56480482162225,"{0: 40, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,7,31.000365857234293,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,20,10.506348543762481,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
