trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.084191613362,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.49122269843322,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.47401589847524,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.4166264858092,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-83.34400965977598,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.8403071609873,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.94687046459958,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-95.76254267464859,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.53178920237102,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.6831882837373,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.37395775179172,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.21674381783512,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.04505097662582,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,8,-14.7753645265127,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-80.61887983110849,"{0: 20, 1: 6, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.74056067413588,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.14393826827298,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.916578093704,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.08404884443092,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.5}",25,0,-98.36859037084004,"{0: 13, 1: 9, 2: 1, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.5}",30,0,-60.66108108146741,"{0: 15, 1: 13, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.5}",20,0,-16.1727910761958,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.5}",20,0,-191.80782983174504,"{0: 5, 1: 10, 2: 1, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.5}",20,0,-59.15511127101988,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.5}",20,0,-47.75017411600157,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.5}",30,0,-56.42174609840932,"{0: 18, 1: 8, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.5}",30,0,-101.6024000837455,"{0: 14, 1: 14, 2: 1, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.5}",25,0,-62.387206192100436,"{0: 15, 1: 8, 2: 1, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.5}",25,0,-35.52045934873999,"{0: 16, 1: 7, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.5}",25,0,-67.54139136666784,"{0: 11, 1: 11, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.5}",30,0,-44.717996088337664,"{0: 19, 1: 8, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.5}",20,0,-42.197673574888206,"{0: 10, 1: 8, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.5}",25,0,-50.6294617976575,"{0: 13, 1: 10, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.5}",20,0,-84.23571299470605,"{0: 9, 1: 9, 2: 1, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.5}",20,0,-31.08336877558294,"{0: 11, 1: 8, 2: 1, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.5}",25,0,-120.3326898415114,"{0: 14, 1: 7, 2: 2, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.5}",25,0,-119.71866610869881,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.5}",20,0,-58.19663289841795,"{0: 9, 1: 9, 2: 1, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.5}",25,0,-79.46463939078127,"{0: 15, 1: 7, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.3333333333333333}",25,0,-124.98519336857314,"{0: 11, 1: 12, 2: 0, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.3333333333333333}",25,0,-33.84115626184568,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,0,-55.38402391625538,"{0: 8, 1: 11, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.3333333333333333}",25,0,-68.29700577807812,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,0,-54.06101587086663,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.3333333333333333}",30,0,-78.47413527835515,"{0: 13, 1: 16, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.3333333333333333}",25,0,-60.5895353943594,"{0: 12, 1: 12, 2: 0, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,0,-18.982827969127463,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.3333333333333333}",25,0,-58.083986705354306,"{0: 12, 1: 11, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.3333333333333333}",25,0,-103.85863076461398,"{0: 11, 1: 10, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.3333333333333333}",25,0,-73.67228026546806,"{0: 14, 1: 7, 2: 2, 3: 2, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.3333333333333333}",25,0,-151.40788487031762,"{0: 10, 1: 9, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.3333333333333333}",30,0,-57.34972883682536,"{0: 18, 1: 11, 2: 0, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,0,-37.77369120716919,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,0,-57.298449075182894,"{0: 10, 1: 8, 2: 1, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.3333333333333333}",30,0,-149.38677063056255,"{0: 13, 1: 12, 2: 3, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.3333333333333333}",25,0,-92.83070766168136,"{0: 12, 1: 9, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,0,-37.710911509514965,"{0: 11, 1: 8, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.3333333333333333}",25,0,-43.74423246095179,"{0: 14, 1: 10, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,0,-6.157712355189427,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.25}",35,0,-130.8058586069011,"{0: 15, 1: 16, 2: 3, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.25}",25,0,-43.26562814051336,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.25}",20,0,11.93074744328416,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.25}",25,0,-53.40700488298417,"{0: 12, 1: 12, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.25}",30,0,-77.19428297850328,"{0: 17, 1: 12, 2: 0, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.25}",25,0,-40.41042187833915,"{0: 15, 1: 9, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.25}",20,0,-82.19306935446915,"{0: 9, 1: 9, 2: 1, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.25}",30,0,-91.22904287399939,"{0: 15, 1: 13, 2: 1, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.25}",30,0,-64.22977464434005,"{0: 18, 1: 10, 2: 1, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.25}",20,0,-99.40567273204252,"{0: 8, 1: 9, 2: 1, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.25}",20,0,-66.56419171230635,"{0: 8, 1: 10, 2: 1, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.25}",20,0,-91.6439453025727,"{0: 9, 1: 8, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.25}",20,0,-21.774675169657577,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.25}",25,0,-37.849988328359856,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.25}",20,0,-63.588879522714016,"{0: 8, 1: 11, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.25}",30,0,-108.89066797854159,"{0: 15, 1: 12, 2: 1, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.25}",35,0,-128.93298849153146,"{0: 18, 1: 15, 2: 0, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.25}",20,0,-86.58780336569619,"{0: 9, 1: 9, 2: 1, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.25}",30,0,-85.70596598178791,"{0: 16, 1: 12, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.25}",25,0,-46.905918873273684,"{0: 14, 1: 10, 2: 0, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.2}",20,0,-39.79301528860182,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.2}",25,0,-111.45756350531471,"{0: 11, 1: 10, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.2}",25,0,-47.872670663228625,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.2}",20,0,-52.4066590951551,"{0: 10, 1: 8, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.2}",25,0,-47.99044872432365,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.2}",20,0,-65.91631010282546,"{0: 6, 1: 13, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.2}",30,0,-108.74193644679451,"{0: 17, 1: 11, 2: 0, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.2}",20,0,-92.91659652528121,"{0: 7, 1: 12, 2: 0, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.2}",30,0,-65.19716832426913,"{0: 14, 1: 15, 2: 1, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.2}",20,0,-52.63623849145697,"{0: 8, 1: 11, 2: 1, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.2}",25,0,-58.39280875831138,"{0: 12, 1: 12, 2: 1, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.2}",20,0,-41.83909555453489,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.2}",20,0,-19.228961355768206,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.2}",20,0,-52.33706132116043,"{0: 10, 1: 9, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.2}",30,0,-75.12261525429057,"{0: 14, 1: 14, 2: 1, 3: 1, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.2}",25,0,-94.00740078788228,"{0: 11, 1: 13, 2: 0, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.2}",25,0,-62.197177329751305,"{0: 11, 1: 11, 2: 3, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.2}",20,0,-38.42215204825753,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.2}",20,0,-112.61311178695372,"{0: 8, 1: 8, 2: 2, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.2}",25,0,-114.31303258318782,"{0: 10, 1: 12, 2: 2, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.16666666666666666}",20,0,-52.19184668552431,"{0: 8, 1: 11, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.16666666666666666}",20,0,-17.56738994174937,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.16666666666666666}",30,0,-58.15799846818594,"{0: 15, 1: 13, 2: 2, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.16666666666666666}",20,0,-116.83054290030101,"{0: 8, 1: 10, 2: 0, 3: 0, 4: 2}",0
