trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.09, 'e': 0.99}",20,0,-99.90724406191363,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.09, 'e': 0.9801}",35,0,-195.82646871945855,"{0: 16, 1: 4, 2: 13, 3: 1, 4: 1}",0
3,False,"{'a': 0.09, 'e': 0.970299}",20,0,-185.02332056589583,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.09, 'e': 0.9605960100000001}",20,0,-91.3597213492141,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.09, 'e': 0.9509900499}",20,0,-98.00617408417786,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.09, 'e': 0.941480149401}",25,0,-199.7518976447081,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.09, 'e': 0.93206534790699}",20,0,-88.33487817691632,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.09, 'e': 0.9227446944279202}",25,0,-133.92362660729486,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.09, 'e': 0.9135172474836409}",25,0,-154.00667794419235,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.09, 'e': 0.9043820750088045}",20,12,-41.63865763947635,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.09, 'e': 0.8953382542587165}",20,0,-121.19724972129654,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.09, 'e': 0.8863848717161293}",25,0,-82.99501708436328,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.09, 'e': 0.8775210229989681}",25,0,-81.17604750119798,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.09, 'e': 0.8687458127689783}",20,4,-71.24663322977774,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.09, 'e': 0.8600583546412885}",20,0,-124.2652157082182,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
16,False,"{'a': 0.09, 'e': 0.8514577710948756}",25,0,-186.04416146592283,"{0: 13, 1: 7, 2: 1, 3: 0, 4: 4}",0
17,False,"{'a': 0.09, 'e': 0.8429431933839269}",35,0,-230.71878775698482,"{0: 19, 1: 3, 2: 6, 3: 5, 4: 2}",0
18,False,"{'a': 0.09, 'e': 0.8345137614500876}",25,0,-126.54070303725057,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.09, 'e': 0.8261686238355868}",20,0,-102.65380929824076,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.09, 'e': 0.8179069375972309}",20,1,-93.03887431105996,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
21,False,"{'a': 0.09, 'e': 0.8097278682212585}",30,0,-162.58003790156272,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
22,False,"{'a': 0.09, 'e': 0.801630589539046}",25,10,-29.00097043291229,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
23,False,"{'a': 0.09, 'e': 0.7936142836436555}",20,0,-78.54765336666335,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.09, 'e': 0.785678140807219}",25,5,-11.82933740235247,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0.09, 'e': 0.7778213593991468}",25,0,-161.85528843463948,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
26,False,"{'a': 0.09, 'e': 0.7700431458051553}",35,10,-34.96651991820687,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",1
27,False,"{'a': 0.09, 'e': 0.7623427143471038}",30,0,-73.7250291215655,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.09, 'e': 0.7547192872036327}",25,0,-81.86320695247754,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
29,False,"{'a': 0.09, 'e': 0.7471720943315964}",20,0,-121.85139491581621,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
30,False,"{'a': 0.09, 'e': 0.7397003733882804}",30,6,-117.81257232050332,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 2}",1
31,False,"{'a': 0.09, 'e': 0.7323033696543976}",20,0,-30.574923923277964,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
32,False,"{'a': 0.09, 'e': 0.7249803359578536}",30,0,-102.97825555303258,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
33,False,"{'a': 0.09, 'e': 0.717730532598275}",25,0,-62.63067325787805,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.09, 'e': 0.7105532272722923}",25,0,-68.61386281220217,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
35,False,"{'a': 0.09, 'e': 0.7034476949995694}",25,0,-81.52825147171275,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
36,False,"{'a': 0.09, 'e': 0.6964132180495737}",20,0,-20.76861013425704,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.09, 'e': 0.6894490858690779}",20,0,-33.362765317729774,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.09, 'e': 0.6825545950103872}",20,0,-66.87820223191846,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
39,False,"{'a': 0.09, 'e': 0.6757290490602833}",30,0,-127.19870449877742,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 3}",0
40,False,"{'a': 0.09, 'e': 0.6689717585696805}",25,0,-72.43516723830875,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
41,False,"{'a': 0.09, 'e': 0.6622820409839837}",25,0,-60.56328906086998,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
42,False,"{'a': 0.09, 'e': 0.6556592205741438}",20,0,-52.360960741837026,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
43,False,"{'a': 0.09, 'e': 0.6491026283684024}",20,12,-12.472620023912413,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.09, 'e': 0.6426116020847183}",20,16,8.717511472666278,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.09, 'e': 0.6361854860638712}",20,0,-68.94326044489142,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
46,False,"{'a': 0.09, 'e': 0.6298236312032325}",30,10,-68.23237123105025,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",1
47,False,"{'a': 0.09, 'e': 0.6235253948912002}",25,0,-116.55304679048935,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
48,False,"{'a': 0.09, 'e': 0.6172901409422882}",20,0,-21.689367782606144,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
49,False,"{'a': 0.09, 'e': 0.6111172395328653}",20,0,-18.329753143098664,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
50,False,"{'a': 0.09, 'e': 0.6050060671375367}",35,0,6.933006986753851,"{0: 32, 1: 2, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.09, 'e': 0.5989560064661613}",20,0,-57.54227273990489,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
52,False,"{'a': 0.09, 'e': 0.5929664464014998}",25,1,-29.9974710668976,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
53,False,"{'a': 0.09, 'e': 0.5870367819374848}",25,0,-84.6377343441259,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.09, 'e': 0.5811664141181099}",20,7,-11.538155443117468,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.09, 'e': 0.5753547499769288}",20,0,-0.8820268167966321,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
