trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.11372860624405,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.0656315533909,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.26378563038984,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-112.32499830811362,"{0: 23, 1: 4, 2: 6, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,9,-18.924895251779475,"{0: 6, 1: 4, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.51087092390455,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.79630460580108,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.2715381920155,"{0: 7, 1: 2, 2: 8, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.05990960733965,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,15,7.702086987061011,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.96629796756272,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.01831514936842,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-146.58043682255195,"{0: 19, 1: 6, 2: 8, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,10,-20.594921172886067,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.00828864203322,"{0: 17, 1: 5, 2: 3, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.59656251437175,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.47719362123874,"{0: 10, 1: 5, 2: 7, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.921324727508086,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.36058831749611,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.27671702746943,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.4508384608796,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-135.09310789998506,"{0: 21, 1: 6, 2: 3, 3: 5, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.85953546798136,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-55.55691788030638,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,3,-88.92374659911624,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-162.9951111610884,"{0: 20, 1: 7, 2: 3, 3: 4, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-183.6627532379119,"{0: 8, 1: 3, 2: 4, 3: 3, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-102.80613025587972,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.50701330186796,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.7962257689304,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
