trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-238.44782361266368,"{0: 17, 1: 6, 2: 7, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.999}",25,0,-108.46261925425918,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.998}",25,6,-32.39926414408906,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.997}",20,0,-46.825292440851904,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.996}",25,0,-106.89563283900476,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.995}",35,1,-192.2566496583767,"{0: 19, 1: 8, 2: 3, 3: 1, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.994}",30,0,-203.29816645228297,"{0: 18, 1: 5, 2: 2, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.993}",20,0,-192.05921239546683,"{0: 9, 1: 6, 2: 1, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.992}",20,0,-98.94954395548632,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.991}",20,2,-155.71252466149292,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.99}",25,0,-65.31659593089861,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.989}",30,0,-87.6562149411082,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.988}",20,0,-101.49133335249917,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.987}",20,0,-129.197445601941,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.986}",20,0,-164.83043227510905,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.985}",20,0,-148.29244575229507,"{0: 9, 1: 6, 2: 1, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.984}",20,0,-88.01835675005175,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.983}",20,0,-108.88728767534286,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.982}",20,0,-143.91745208616513,"{0: 10, 1: 3, 2: 2, 3: 4, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.981}",30,0,-239.45358788348443,"{0: 11, 1: 5, 2: 10, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.98}",20,0,-45.88348548190648,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.979}",20,0,-141.71853696349103,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.978}",20,0,-49.08401122398462,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.977}",35,10,-166.40907001940644,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",1
