trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.63553673888887,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.64101776290128,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.10560622241239,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.98933838748545,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.284644298421384,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.60206250164375,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.0870376773076,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-15.21427762027077,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.03851024649086,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.76612969747266,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.20711369300962,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.3561693805963,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.65790168861898,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.2042519839712,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.1885255612073,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.32183483079135,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.19608710345344,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-218.59015392864123,"{0: 16, 1: 5, 2: 11, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.27223188736545,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.82338297699812,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-236.5686110767716,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-264.9092181842875,"{0: 12, 1: 4, 2: 9, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.8411627480738,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,9,-40.83069149600365,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.1185599707541,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
